Repositorio;Nome;Estrelas;Anos;nº Releases;média CBO;desvio padão CBO;média LCOM;desvio padão LCOM;DIT máximo;LOC Total
apache/zookeeper;zookeeper;11871;14.99;0;5.627473806752037;7.107260025743263;37.35506402793946;397.0771892033686;96.0;119982.0
apache/dolphinscheduler;dolphinscheduler;11848;5.06;51;6.538191738113796;7.00833923735207;15.504676539360872;98.47546676265996;7.0;105767.0
chat2db/Chat2DB;Chat2DB;11840;0.75;34;5.92018244013683;6.903506022718614;10.454960091220068;58.913726913522055;5.0;24247.0
Tencent/VasSonic;VasSonic;11775;6.64;10;4.198198198198198;4.878376298735967;21.61261261261261;95.60892294774747;4.0;7421.0
pxb1988/dex2jar;dex2jar;11754;9.02;8;5.42907180385289;6.844517589273219;21.13309982486865;136.39425883484105;12.0;41716.0
Yalantis/uCrop;uCrop;11740;8.21;16;6.298701298701299;8.485380758991505;28.90909090909091;81.01389680664009;7.0;4669.0
redis/jedis;jedis;11557;13.79;99;4.92707182320442;9.085425566484114;517.8563535911602;13668.63842173856;7.0;74272.0
Netflix/conductor;conductor;12923;7.29;319;7.498493975903615;8.244019235395935;78.67469879518072;646.1861440276657;4.0;47052.0
youth5201314/banner;banner;12689;7.92;0;6.082191780821918;6.114777574461554;47.68493150684932;348.48705786437455;4.0;2724.0
facebookarchive/stetho;stetho;12665;9.17;13;4.3816013628620105;5.371468777005884;7.5042589437819425;31.247016603146985;21.0;19224.0
macrozheng/mall-learning;mall-learning;12664;4.95;0;5.004796163069544;4.858178204023359;490.9640287769784;5904.865372373223;4.0;29041.0
greenrobot/greenDAO;greenDAO;12610;12.42;8;5.019230769230769;4.6865676023930884;47.4532967032967;240.95176553266336;8.0;18545.0
projectlombok/lombok;lombok;12538;14.79;0;;;;;;
theonedev/onedev;onedev;12532;5.38;316;5.754008551576697;8.566635478320508;21.176643506146444;338.2585654378927;8.0;265584.0
zhihu/Matisse;Matisse;12483;6.95;15;6.657894736842105;7.335122127169978;8.078947368421053;16.031845904402058;4.0;3418.0
daimajia/AndroidViewAnimations;AndroidViewAnimations;12391;9.75;9;3.3780487804878048;6.987166360815951;2.292682926829268;12.810521404515981;2.0;965.0
daimajia/AndroidSwipeLayout;AndroidSwipeLayout;12351;9.58;18;3.7162162162162162;4.9114325269481265;58.9054054054054;477.0281925182914;3.0;2770.0
neo4j/neo4j;neo4j;12330;11.36;72;6.535973928302833;8.463174635570503;45.09768530124509;620.2721074850654;58.0;606489.0
google/guice;guice;12321;9.82;19;3.833955223880597;5.356072667558753;7.994402985074627;75.03706064165574;43.0;79633.0
janishar/mit-deep-learning-book-pdf;mit-deep-learning-book-pdf;12235;6.96;3;0.0;0.0;0.0;0.0;1.0;2.0
